repo,number,state,merged,created_at,closed_or_merged_at,additions,deletions,changed_files,description_length,comments,review_comments,participants
freeCodeCamp/freeCodeCamp,59220,closed,True,2025-03-11T09:09:55Z,2025-03-11T09:40:16Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59218,closed,True,2025-03-11T08:21:08Z,2025-03-22T15:59:05Z,82,183,8,2078,0,4,4
freeCodeCamp/freeCodeCamp,59215,closed,True,2025-03-11T05:56:24Z,2025-03-24T06:06:30Z,14,15,2,750,7,10,3
freeCodeCamp/freeCodeCamp,59212,closed,True,2025-03-10T19:43:49Z,2025-03-11T00:04:08Z,2,2,1,751,0,0,2
freeCodeCamp/freeCodeCamp,59211,closed,True,2025-03-10T19:27:18Z,2025-03-11T18:12:50Z,1,1,1,750,1,0,2
freeCodeCamp/freeCodeCamp,59206,closed,True,2025-03-10T14:08:32Z,2025-03-10T18:01:02Z,1,1,1,47,0,0,2
freeCodeCamp/freeCodeCamp,59203,closed,True,2025-03-10T12:26:00Z,2025-03-10T16:45:17Z,33,21,10,45,0,0,2
freeCodeCamp/freeCodeCamp,59202,closed,True,2025-03-10T10:43:59Z,2025-03-11T03:43:57Z,11,0,5,829,0,2,3
freeCodeCamp/freeCodeCamp,59201,closed,True,2025-03-10T08:54:20Z,2025-03-10T11:35:27Z,645,3089,1,1454,1,0,2
freeCodeCamp/freeCodeCamp,59200,closed,True,2025-03-09T20:57:43Z,2025-03-10T05:37:18Z,1,1,1,794,0,0,2
freeCodeCamp/freeCodeCamp,59198,closed,True,2025-03-09T19:35:26Z,2025-03-11T00:26:26Z,12,12,11,752,0,2,3
freeCodeCamp/freeCodeCamp,59195,closed,True,2025-03-09T18:15:57Z,2025-03-10T09:03:32Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59190,closed,True,2025-03-09T05:50:14Z,2025-03-10T11:50:38Z,9,1,1,1149,0,1,2
freeCodeCamp/freeCodeCamp,59187,closed,True,2025-03-08T12:51:50Z,2025-03-09T06:26:41Z,12,0,1,1131,0,0,2
freeCodeCamp/freeCodeCamp,59185,closed,True,2025-03-08T06:15:16Z,2025-03-08T11:49:40Z,0,4,1,70,0,0,2
freeCodeCamp/freeCodeCamp,59184,closed,True,2025-03-07T22:24:59Z,2025-03-11T09:21:02Z,550,116,12,1996,1,7,3
freeCodeCamp/freeCodeCamp,59183,closed,True,2025-03-07T18:34:44Z,2025-03-11T11:20:08Z,580,480,8,551,0,3,3
freeCodeCamp/freeCodeCamp,59182,closed,True,2025-03-07T17:51:19Z,2025-03-08T10:16:46Z,2,2,1,931,2,0,2
freeCodeCamp/freeCodeCamp,59181,closed,True,2025-03-07T16:11:36Z,2025-03-08T14:53:55Z,3,3,1,907,0,0,2
freeCodeCamp/freeCodeCamp,59180,closed,True,2025-03-07T11:49:59Z,2025-03-07T12:29:28Z,1,1,1,47,0,0,2
freeCodeCamp/freeCodeCamp,59179,closed,True,2025-03-07T11:01:01Z,2025-04-02T18:50:43Z,64,94,10,967,0,2,3
freeCodeCamp/freeCodeCamp,59178,closed,True,2025-03-07T09:02:13Z,2025-03-07T22:36:34Z,5,46,7,771,0,0,2
freeCodeCamp/freeCodeCamp,59177,closed,True,2025-03-07T07:08:16Z,2025-03-07T09:01:39Z,3,3,1,750,0,0,2
